Kind,Identifier,Term
1,13387,"Document, Government, Death Record, Death Register"
1,13369,"Document, Government, Docket"
1,13350,"Document, Government, Executive Record"
1,13349,"Document, Government, Government Records"
1,13359,"Document, Government, Immigration Record"
1,13370,"Document, Government, Judgment"
1,13368,"Document, Government, Judicial Record"
1,13379,"Document, Government, Legislative Bill"
1,13376,"Document, Government, Legislative Record"
1,13355,"Document, Government, Letters Patent"
1,13352,"Document, Government, Lettre de Cachet"
1,13388,"Document, Government, Marriage Record"
1,13391,"Document, Government, Marriage Record, Divorce Record"
1,13389,"Document, Government, Marriage Record, Marriage Certificate"
1,13390,"Document, Government, Marriage Record, Marriage License"
1,13392,"Document, Government, Marriage Record, Marriage Register"
1,13360,"Document, Government, Military Record"
1,13361,"Document, Government, Military Record, Military Discharge"
1,13363,"Document, Government, Military Record, Military Orders"
1,13365,"Document, Government, Military Record, Muster Roll"
1,13364,"Document, Government, Military Record, Service Record"
1,13362,"Document, Government, Military Record, Surrender Document"
1,13353,"Document, Government, Pardon"
1,13354,"Document, Government, Patent"
1,13371,"Document, Government, Probate"
1,13366,"Document, Government, Regulation"
1,13372,"Document, Government, Subpoena"
1,13373,"Document, Government, Summons"
1,13367,"Document, Government, Tax Roll"
1,13380,"Document, Government, Vital Record"
1,13374,"Document, Government, Warrant"
1,13375,"Document, Government, Writ"
1,13416,"Document, Graph"
1,13393,"Document, Graphic Documents"
1,13694,"Document, Identification Label"
1,13696,"Document, Identification Label, Address Label"
1,13695,"Document, Identification Label, Bookplate"
1,13698,"Document, Identification Label, Identification Tag"
1,13699,"Document, Identification Label, Identification Tag, Carcass Tag"
1,13700,"Document, Identification Label, Identification Tag, Inventory Tag"
1,13701,"Document, Identification Label, Identification Tag, Luggage Tag"
1,13702,"Document, Identification Label, Identification Tag, Merchandise Tag"
1,13703,"Document, Identification Label, Identification Tag, Shipping Tag"
1,13697,"Document, Identification Label, Shipping Label"
1,13759,"Document, Identification Plate"
1,13763,"Document, Identification Plate, Builder's Plate"
1,13762,"Document, Identification Plate, Date Plaque"
1,13760,"Document, Identification Plate, Fire Mark"
1,13761,"Document, Identification Plate, Nameplate"
1,13764,"Document, Identification Plate, Number Plate"
1,13486,"Document, Instructional, Catechism"
1,13488,"Document, Instructional, Copybook"
1,13489,"Document, Instructional, Examination"
1,13491,"Document, Instructional, Grammar"
1,13483,"Document, Instructional, Instruction Book"
1,13484,"Document, Instructional, Instruction Card"
1,13485,"Document, Instructional, Instruction Card, Flash Card"
1,13498,"Document, Instructional, Instruction Pamphlet"
1,13505,"Document, Instructional, Instruction Sheet"
1,13487,"Document, Instructional, Instructional Chart"
1,13481,"Document, Instructional, Instructional Documents"
1,13499,"Document, Instructional, Instructional Poster"
1,13493,"Document, Instructional, Learning Kit"
1,13495,"Document, Instructional, Manual"
1,13496,"Document, Instructional, Manual, Employee Manual"
1,13497,"Document, Instructional, Manual, Training Manual"
1,13500,"Document, Instructional, Primer"
1,13501,"Document, Instructional, Primer, Hornbook"
1,13502,"Document, Instructional, Recipe"
1,13504,"Document, Instructional, Recipe, Cookbook"
1,13503,"Document, Instructional, Recipe, Recipe Card"
1,13490,"Document, Instructional, School Exercise"
1,13506,"Document, Instructional, Syllabus"
1,13494,"Document, Instructional, Teaching Manikin"
1,13507,"Document, Instructional, Textbook"
1,13482,"Document, Instructional, Visual Aid"
1,13508,"Document, Instructional, Workbook"
1,13509,"Document, Instructional, Worksheet"
1,13704,"Document, Leaf"
1,13705,"Document, Leaf, Folio"
1,13706,"Document, Leaf, Page"
1,13707,"Document, Leaf, Tearsheet"
1,13708,"Document, Leaflet"
1,13511,"Document, Legal, Affidavit"
1,13512,"Document, Legal, Agreement"
1,13514,"Document, Legal, Agreement, Contract"
1,13515,"Document, Legal, Agreement, Contract, Lease"
1,13516,"Document, Legal, Agreement, Guaranty"
1,13517,"Document, Legal, Agreement, Guaranty, Warranty"
1,13513,"Document, Legal, Agreement, Legal Bond"
1,13518,"Document, Legal, Agreement, Treaty"
1,13519,"Document, Legal, Article of Incorporation"
1,13521,"Document, Legal, Brief"
1,13522,"Document, Legal, Charter"
1,13523,"Document, Legal, Claim"
1,13520,"Document, Legal, Contract Award"
1,13524,"Document, Legal, Discharge"
1,13525,"Document, Legal, Indenture"
1,13526,"Document, Legal, Indictment"
1,13510,"Document, Legal, Legal Documents"
1,13527,"Document, Legal, Muniment"
1,13528,"Document, Legal, Muniment, Deed"
1,14977,"Document, Legal, Muniment, Land Grant"
1,13529,"Document, Legal, Power of Attorney"
1,13530,"Document, Legal, Testimony"
1,13531,"Document, Legal, Testimony, Deposition"
1,13532,"Document, Legal, Testimony, Oath"
1,13533,"Document, Legal, Traffic Ticket"
1,13534,"Document, Legal, Will"
1,13709,"Document, List"
1,13715,"Document, List, Attendance List"
1,13710,"Document, List, Bibliography"
1,13711,"Document, List, Checklist"
1,13712,"Document, List, Guestbook"
1,13713,"Document, List, Index"
1,13714,"Document, List, Inventory"
1,13716,"Document, List, Mailing List"
1,13717,"Document, List, Membership List"
1,13721,"Document, List, Menu"
1,13718,"Document, List, Passenger List"
1,13722,"Document, List, Pricelist"
1,13723,"Document, List, Register"
1,13724,"Document, List, Register, Family Register"
1,13725,"Document, List, Roster"
1,13719,"Document, List, Subscription List"
1,13720,"Document, List, Voters' List"
1,13726,"Document, Log"
1,13727,"Document, Log, Flight Log"
1,13728,"Document, Log, Ship's Log"
1,13311,"Document, Manifesto"
1,13729,"Document, Manuscript"
1,13730,"Document, Manuscript, Autograph"
1,13774,"Document, Medical Record"
1,13568,"Document, Memorabilia"
1,13569,"Document, Memorabilia, Album"
1,13570,"Document, Memorabilia, Album, Autograph Album"
1,13575,"Document, Memorabilia, Album, Baby Book"
1,13576,"Document, Memorabilia, Album, Bridal Book"
1,13571,"Document, Memorabilia, Album, Card Album"
1,13572,"Document, Memorabilia, Album, Photograph Album"
